Epoch: 1, Train Loss: 2.4677, Train Accuracy: 51.53%, Val Loss: 0.0567, Val Accuracy: 0.48%
Epoch: 2, Train Loss: 0.8138, Train Accuracy: 60.50%, Val Loss: 0.0378, Val Accuracy: 0.53%
Epoch: 3, Train Loss: 0.8307, Train Accuracy: 62.66%, Val Loss: 0.0334, Val Accuracy: 0.52%
Epoch: 4, Train Loss: 0.6749, Train Accuracy: 68.76%, Val Loss: 0.0567, Val Accuracy: 0.60%
Epoch: 5, Train Loss: 0.8777, Train Accuracy: 64.45%, Val Loss: 0.0379, Val Accuracy: 0.61%
Epoch: 6, Train Loss: 0.6615, Train Accuracy: 73.61%, Val Loss: 0.0338, Val Accuracy: 0.61%
Epoch: 7, Train Loss: 0.5546, Train Accuracy: 73.43%, Val Loss: 0.0320, Val Accuracy: 0.55%
Epoch: 8, Train Loss: 0.5461, Train Accuracy: 74.87%, Val Loss: 0.0312, Val Accuracy: 0.59%
Epoch: 9, Train Loss: 0.5287, Train Accuracy: 74.51%, Val Loss: 0.0318, Val Accuracy: 0.59%
Epoch: 10, Train Loss: 0.4995, Train Accuracy: 74.51%, Val Loss: 0.0314, Val Accuracy: 0.60%
Epoch: 11, Train Loss: 0.4934, Train Accuracy: 77.38%, Val Loss: 0.0311, Val Accuracy: 0.62%
Epoch: 12, Train Loss: 0.4950, Train Accuracy: 77.20%, Val Loss: 0.0307, Val Accuracy: 0.58%
Epoch: 13, Train Loss: 0.4704, Train Accuracy: 77.56%, Val Loss: 0.0304, Val Accuracy: 0.59%
Epoch: 14, Train Loss: 0.4924, Train Accuracy: 77.74%, Val Loss: 0.0303, Val Accuracy: 0.60%
Epoch: 15, Train Loss: 0.4700, Train Accuracy: 77.74%, Val Loss: 0.0303, Val Accuracy: 0.59%
Epoch: 16, Train Loss: 0.4855, Train Accuracy: 76.12%, Val Loss: 0.0305, Val Accuracy: 0.57%
Epoch: 17, Train Loss: 0.4499, Train Accuracy: 79.71%, Val Loss: 0.0306, Val Accuracy: 0.58%
Epoch: 18, Train Loss: 0.4877, Train Accuracy: 75.76%, Val Loss: 0.0303, Val Accuracy: 0.60%
Epoch: 19, Train Loss: 0.5178, Train Accuracy: 75.58%, Val Loss: 0.0300, Val Accuracy: 0.60%
Epoch: 20, Train Loss: 0.4810, Train Accuracy: 77.56%, Val Loss: 0.0303, Val Accuracy: 0.61%
Epoch: 21, Train Loss: 0.4893, Train Accuracy: 76.84%, Val Loss: 0.0305, Val Accuracy: 0.59%
Epoch: 22, Train Loss: 0.4644, Train Accuracy: 78.10%, Val Loss: 0.0306, Val Accuracy: 0.59%
Epoch: 23, Train Loss: 0.4672, Train Accuracy: 76.30%, Val Loss: 0.0307, Val Accuracy: 0.59%
Epoch: 24, Train Loss: 0.4545, Train Accuracy: 80.25%, Val Loss: 0.0307, Val Accuracy: 0.59%
Epoch: 25, Train Loss: 0.5220, Train Accuracy: 77.20%, Val Loss: 0.0310, Val Accuracy: 0.59%
Epoch: 26, Train Loss: 0.4781, Train Accuracy: 78.64%, Val Loss: 0.0303, Val Accuracy: 0.59%
Epoch: 27, Train Loss: 0.4669, Train Accuracy: 78.99%, Val Loss: 0.0307, Val Accuracy: 0.57%
Epoch: 28, Train Loss: 0.4883, Train Accuracy: 75.22%, Val Loss: 0.0304, Val Accuracy: 0.60%
Epoch: 29, Train Loss: 0.4982, Train Accuracy: 75.76%, Val Loss: 0.0306, Val Accuracy: 0.60%
Epoch: 30, Train Loss: 0.4663, Train Accuracy: 77.92%, Val Loss: 0.0306, Val Accuracy: 0.58%
