Epoch: 1, Train Loss: 1.1452, Train Accuracy: 55.48%, Val Loss: 0.0340, Val Accuracy: 0.50%
Epoch: 2, Train Loss: 0.7297, Train Accuracy: 59.61%, Val Loss: 0.0310, Val Accuracy: 0.49%
Epoch: 3, Train Loss: 0.6496, Train Accuracy: 66.25%, Val Loss: 0.0290, Val Accuracy: 0.54%
Epoch: 4, Train Loss: 0.6115, Train Accuracy: 68.22%, Val Loss: 0.0260, Val Accuracy: 0.62%
Epoch: 5, Train Loss: 0.5640, Train Accuracy: 69.84%, Val Loss: 0.0284, Val Accuracy: 0.62%
Epoch: 6, Train Loss: 0.5151, Train Accuracy: 73.97%, Val Loss: 0.0261, Val Accuracy: 0.61%
Epoch: 7, Train Loss: 0.4885, Train Accuracy: 76.12%, Val Loss: 0.0258, Val Accuracy: 0.62%
Epoch: 8, Train Loss: 0.4775, Train Accuracy: 75.40%, Val Loss: 0.0253, Val Accuracy: 0.64%
Epoch: 9, Train Loss: 0.4809, Train Accuracy: 76.12%, Val Loss: 0.0257, Val Accuracy: 0.61%
Epoch: 10, Train Loss: 0.4756, Train Accuracy: 77.20%, Val Loss: 0.0260, Val Accuracy: 0.63%
Epoch: 11, Train Loss: 0.4341, Train Accuracy: 78.46%, Val Loss: 0.0262, Val Accuracy: 0.62%
Epoch: 12, Train Loss: 0.4544, Train Accuracy: 77.20%, Val Loss: 0.0261, Val Accuracy: 0.62%
Epoch: 13, Train Loss: 0.4585, Train Accuracy: 77.20%, Val Loss: 0.0260, Val Accuracy: 0.63%
Epoch: 14, Train Loss: 0.4595, Train Accuracy: 78.28%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 15, Train Loss: 0.4530, Train Accuracy: 77.38%, Val Loss: 0.0261, Val Accuracy: 0.62%
Epoch: 16, Train Loss: 0.4642, Train Accuracy: 79.71%, Val Loss: 0.0260, Val Accuracy: 0.64%
Epoch: 17, Train Loss: 0.4566, Train Accuracy: 77.74%, Val Loss: 0.0261, Val Accuracy: 0.63%
Epoch: 18, Train Loss: 0.4602, Train Accuracy: 77.56%, Val Loss: 0.0260, Val Accuracy: 0.64%
Epoch: 19, Train Loss: 0.4445, Train Accuracy: 78.64%, Val Loss: 0.0260, Val Accuracy: 0.64%
Epoch: 20, Train Loss: 0.4504, Train Accuracy: 76.30%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 21, Train Loss: 0.4481, Train Accuracy: 78.28%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 22, Train Loss: 0.4359, Train Accuracy: 78.64%, Val Loss: 0.0262, Val Accuracy: 0.62%
Epoch: 23, Train Loss: 0.4431, Train Accuracy: 78.82%, Val Loss: 0.0260, Val Accuracy: 0.64%
Epoch: 24, Train Loss: 0.4568, Train Accuracy: 77.20%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 25, Train Loss: 0.4425, Train Accuracy: 78.64%, Val Loss: 0.0263, Val Accuracy: 0.62%
Epoch: 26, Train Loss: 0.4515, Train Accuracy: 77.38%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 27, Train Loss: 0.4428, Train Accuracy: 78.64%, Val Loss: 0.0262, Val Accuracy: 0.62%
Epoch: 28, Train Loss: 0.4543, Train Accuracy: 78.82%, Val Loss: 0.0264, Val Accuracy: 0.62%
Epoch: 29, Train Loss: 0.4596, Train Accuracy: 77.20%, Val Loss: 0.0261, Val Accuracy: 0.64%
Epoch: 30, Train Loss: 0.4527, Train Accuracy: 77.02%, Val Loss: 0.0263, Val Accuracy: 0.63%
